timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Filename,Latency,Encoding,IdleTime,Connect
1527358250457,523,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-176,text,true,,307,151,3,89,,523,utf-8,0,424
1527358251957,518,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-177,text,true,,307,151,3,86,,518,utf-8,0,422
1527358242956,9587,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-171,text,true,,307,151,2,85,,9587,utf-8,0,3215
1527358245956,7076,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-173,text,true,,307,151,1,84,,7076,utf-8,0,413
1527358253457,579,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-178,text,true,,307,151,1,84,,579,utf-8,0,430
1527358254957,523,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-179,text,true,,307,151,1,86,,523,utf-8,0,426
1527358256458,510,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-180,text,true,,307,151,1,84,,510,utf-8,0,413
1527358257957,525,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-181,text,true,,307,151,1,84,,525,utf-8,0,425
1527358259457,520,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-182,text,true,,307,151,1,86,,520,utf-8,0,424
1527358260957,523,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-183,text,true,,307,151,1,86,,523,utf-8,0,423
1527358262457,527,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-184,text,true,,307,151,1,84,,527,utf-8,0,425
1527358263957,519,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-185,text,true,,307,151,1,85,,519,utf-8,0,416
1527358265457,541,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-186,text,true,,307,151,1,87,,541,utf-8,0,444
1527358266957,528,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-187,text,true,,307,151,1,87,,528,utf-8,0,426
1527358268457,516,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-188,text,true,,307,151,1,87,,516,utf-8,0,419
1527358269957,515,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-189,text,true,,307,151,1,83,,515,utf-8,0,419
1527358271457,542,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-190,text,true,,307,151,1,86,,542,utf-8,0,423
1527358272989,518,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-191,text,true,,307,151,1,83,,518,utf-8,0,420
1527358274486,518,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-192,text,true,,307,151,1,86,,518,utf-8,0,416
1527358275987,515,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-193,text,true,,307,151,1,86,,515,utf-8,0,414
1527358277457,534,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-194,text,true,,307,151,1,85,,534,utf-8,0,429
1527358278957,527,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-195,text,true,,307,151,1,86,,527,utf-8,0,431
1527358280458,534,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-196,text,true,,307,151,1,82,,534,utf-8,0,424
1527358281958,517,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-197,text,true,,307,151,1,85,,517,utf-8,0,421
1527358283457,536,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-198,text,true,,307,151,1,85,,536,utf-8,0,428
1527358284958,521,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-199,text,true,,307,151,1,87,,521,utf-8,0,417
1527358286436,510,https://calfibonacci.azurewebsites.net/api/calcFibonacci,200,OK,Thread Group 11-200,text,true,,307,151,1,86,,510,utf-8,0,415
